latest.student.size,latest.cost.tuition.in_state,school.name,school.state,school.city
1020.0,,Tulsa Welding School-Dallas Campus,TX,Irving
10.0,,South Post Oak Barber College,TX,Houston
17.0,,Brighton Barber Institute,TX,Hurst
96.0,,Precision Welding Academy,TX,Katy
24.0,,UCAS University of Cosmetology Arts & Sciences - 03,TX,Brownsville
62.0,,Epic Barber College,TX,Houston
,8256.0,Columbia College - Fort Worth,TX,Fort Worth
,39050.0,Culinary Institute of America San Antonio,TX,San Antonio
,2490.0,San Jacinto College-North Campus,TX,Houston
,2490.0,San Jacinto College-South Campus,TX,Houston
,2490.0,San Jacinto Community College District - Generation Park Campus,TX,Houston
,11597.0,Texas A & M University Health Science Center,TX,Bryan
,18484.0,ECPI University - San Antonio,TX,San Antonio
,,Nuvani Institute-Uvalde,TX,Uvalde
,,Nuvani Institute-Del Rio,TX,Del Rio
,,Nuvani Institute-South Campus,TX,Austin
,,Texas Barber College - Branch Campus #1,TX,Dallas
,,Texas Barber College - Branch Campus #2,TX,Dallas
,,Texas Barber College - Branch Campus #5,TX,Houston
,,Academy of Hair Design - Austin,TX,Austin
,13920.0,Strayer University-Northwest Houston,TX,Houston
,13920.0,Strayer University-North Dallas,TX,Farmers Branch
,,Relay Graduate School of Education - Houston,TX,Houston
,,Relay Graduate School of Education - San Antonio,TX,San Antonio
,,Relay Graduate School of Education - Dallas-Fort Worth,TX,Dallas
,,Mystros Barber Academy - Missouri City,TX,Missouri City
